x,y,z,target,target_name
36.27,8.36,31.63,0.0,pitch
36.27,8.36,31.63,0.0,pitch
39.82,8.55,28.27,0.0,pitch
39.82,8.55,28.27,0.0,pitch
39.82,8.55,28.27,0.0,pitch
42.73,8.09,25.2,0.0,pitch
42.73,8.09,25.2,0.0,pitch
42.73,8.09,25.2,0.0,pitch
42.73,8.09,25.2,0.0,pitch
44.73,7.45,22.76,0.0,pitch
44.73,7.45,22.76,0.0,pitch
44.73,7.45,22.76,0.0,pitch
46.73,7.45,19.49,0.0,pitch
46.73,7.45,19.49,0.0,pitch
46.73,7.45,19.49,0.0,pitch
48.91,8.0,15.41,0.0,pitch
48.91,8.0,15.41,0.0,pitch
48.91,8.0,15.41,0.0,pitch
50.36,8.27,15.41,0.0,pitch
50.36,8.27,11.33,0.0,pitch
50.36,8.27,11.33,0.0,pitch
50.36,8.27,11.33,0.0,pitch
51.18,8.64,8.37,0.0,pitch
51.18,8.64,8.37,0.0,pitch
51.18,8.64,8.37,0.0,pitch
51.91,8.91,4.39,0.0,pitch
51.91,8.91,4.39,0.0,pitch
51.91,8.91,4.39,0.0,pitch
51.91,8.91,4.39,0.0,pitch
52.55,8.82,0.41,0.0,pitch
52.55,8.82,0.41,0.0,pitch
52.55,8.82,0.41,0.0,pitch
52.64,8.64,-2.14,0.0,pitch
52.64,8.64,-2.14,0.0,pitch
52.64,8.64,-2.14,0.0,pitch
52.55,9.09,-3.78,0.0,pitch
52.55,9.09,-3.78,0.0,pitch
52.55,9.09,-3.78,0.0,pitch
52.45,9.18,-3.78,0.0,pitch
52.45,9.18,-4.69,0.0,pitch
52.45,9.18,-4.69,0.0,pitch
52.45,9.18,-4.69,0.0,pitch
52.45,9.36,-5.31,0.0,pitch
52.45,9.36,-5.31,0.0,pitch
52.45,9.36,-5.31,0.0,pitch
52.45,9.27,-4.49,0.0,pitch
52.45,9.27,-4.49,0.0,pitch
52.45,9.27,-4.49,0.0,pitch
52.55,9.18,-2.24,0.0,pitch
52.55,9.18,-2.24,0.0,pitch
52.55,9.18,-2.24,0.0,pitch
52.55,9.18,-2.24,0.0,pitch
52.27,9.09,2.35,0.0,pitch
52.27,9.09,2.35,0.0,pitch
52.27,9.09,2.35,0.0,pitch
51.27,9.0,7.76,0.0,pitch
51.27,9.0,7.76,0.0,pitch
51.27,9.0,7.76,0.0,pitch
49.09,9.45,14.29,0.0,pitch
49.09,9.45,14.29,0.0,pitch
49.09,9.45,14.29,0.0,pitch
49.09,9.45,14.29,0.0,pitch
45.82,9.36,20.51,0.0,pitch
45.82,9.36,20.51,0.0,pitch
45.82,9.36,20.51,0.0,pitch
40.82,9.0,27.04,0.0,pitch
40.82,9.0,27.04,0.0,pitch
40.82,9.0,27.04,0.0,pitch
34.64,8.09,33.16,0.0,pitch
34.64,8.09,33.16,0.0,pitch
34.64,8.09,33.16,0.0,pitch
27.82,7.82,37.65,0.0,pitch
27.82,7.82,37.65,0.0,pitch
27.82,7.82,37.65,0.0,pitch
27.82,7.82,37.65,0.0,pitch
21.18,8.82,40.41,0.0,pitch
21.18,8.82,40.41,0.0,pitch
21.18,8.82,40.41,0.0,pitch
15.64,11.09,41.84,0.0,pitch
15.64,11.09,41.84,0.0,pitch
15.64,11.09,41.84,0.0,pitch
10.45,13.09,42.65,0.0,pitch
10.45,13.09,42.65,0.0,pitch
10.45,13.09,42.65,0.0,pitch
5.0,13.18,43.27,0.0,pitch
5.0,13.18,43.27,0.0,pitch
5.0,13.18,43.27,0.0,pitch
0.18,14.55,43.16,0.0,pitch
0.18,14.55,43.16,0.0,pitch
0.18,14.55,43.16,0.0,pitch
0.18,14.55,43.16,0.0,pitch
-4.73,15.73,42.55,0.0,pitch
-4.73,15.73,42.55,0.0,pitch
-4.73,15.73,42.55,0.0,pitch
-10.64,17.0,41.22,0.0,pitch
-10.64,17.0,41.22,0.0,pitch
-10.64,17.0,41.22,0.0,pitch
-16.91,18.45,39.18,0.0,pitch
-16.91,18.45,39.18,0.0,pitch
-16.91,18.45,39.18,0.0,pitch
-21.73,20.27,36.43,0.0,pitch
-21.73,20.27,36.43,0.0,pitch
-21.73,20.27,36.43,0.0,pitch
-26.27,21.09,33.67,0.0,pitch
-26.27,21.09,33.67,0.0,pitch
-26.27,21.09,33.67,0.0,pitch
-31.55,21.64,30.0,0.0,pitch
-31.55,21.64,30.0,0.0,pitch
-31.55,21.64,30.0,0.0,pitch
-37.09,20.82,25.1,0.0,pitch
-37.09,20.82,25.1,0.0,pitch
-37.09,20.82,25.1,0.0,pitch
-41.09,20.45,20.51,0.0,pitch
-41.09,20.45,20.51,0.0,pitch
-41.09,20.45,20.51,0.0,pitch
-44.09,19.91,15.41,0.0,pitch
-44.09,19.91,15.41,0.0,pitch
-44.09,19.91,15.41,0.0,pitch
-46.36,19.36,10.92,0.0,pitch
-46.36,19.36,10.92,0.0,pitch
-46.36,19.36,10.92,0.0,pitch
-48.09,18.73,6.02,0.0,pitch
-48.09,18.73,6.02,0.0,pitch
-48.09,18.73,6.02,0.0,pitch
-48.91,18.45,1.43,0.0,pitch
-48.91,18.45,1.43,0.0,pitch
-48.91,18.45,1.43,0.0,pitch
-49.36,17.82,-2.35,0.0,pitch
-49.36,17.82,-2.35,0.0,pitch
-49.36,17.82,-2.35,0.0,pitch
-49.73,16.91,-5.61,0.0,pitch
-49.73,16.91,-5.61,0.0,pitch
